"메뉴명","이전메뉴명","접근건수","비율(%)"
"logout","가이드","16","0.13"
"logout","이체내역","15","0.12"
"logout","추천","15","0.12"
"logout","내정보","14","0.11"
"logout","모임통장","13","0.11"
"logout","세이프박스","12","0.10"
"logout","내카드","11","0.09"
"logout","내신용정보","10","0.08"
"logout","정기예금","6","0.05"
"logout","카드이용내역","6","0.05"
"가이드","login","14","0.30"
"가이드","세이프박스","10","0.21"
"가이드","추천","7","0.15"
"가이드","정기예금","4","0.08"
"가이드","내정보","3","0.06"
"가이드","내카드","2","0.04"
"가이드","모임통장","2","0.04"
"가이드","카드이용내역","2","0.04"
"가이드","내신용정보","1","0.02"
"가이드","이체내역","1","0.02"
"내신용정보","login","10","0.25"
"내신용정보","세이프박스","5","0.12"
"내신용정보","내카드","4","0.10"
"내신용정보","모임통장","4","0.10"
"내신용정보","추천","4","0.10"
"내신용정보","가이드","3","0.07"
"내신용정보","내정보","3","0.07"
"내신용정보","이체내역","3","0.07"
"내신용정보","정기예금","3","0.07"
"내정보","세이프박스","7","0.21"
"내정보","login","5","0.15"
"내정보","추천","5","0.15"
"내정보","카드이용내역","4","0.12"
"내정보","이체내역","3","0.09"
"내정보","내신용정보","2","0.06"
"내정보","내카드","2","0.06"
"내정보","모임통장","2","0.06"
"내정보","정기예금","2","0.06"
"내카드","login","13","0.31"
"내카드","이체내역","7","0.17"
"내카드","정기예금","7","0.17"
"내카드","가이드","4","0.09"
"내카드","세이프박스","4","0.09"
"내카드","내신용정보","2","0.04"
"내카드","모임통장","2","0.04"
"내카드","내정보","1","0.02"
"내카드","카드이용내역","1","0.02"
"모임통장","세이프박스","6","0.16"
"모임통장","이체내역","5","0.13"
"모임통장","정기예금","5","0.13"
"모임통장","login","4","0.10"
"모임통장","카드이용내역","4","0.10"
"모임통장","가이드","3","0.08"
"모임통장","내카드","3","0.08"
"모임통장","추천","3","0.08"
"모임통장","내신용정보","2","0.05"
"모임통장","내정보","2","0.05"
"세이프박스","login","14","0.26"
"세이프박스","내카드","8","0.15"
"세이프박스","내신용정보","6","0.11"
"세이프박스","이체내역","6","0.11"
"세이프박스","카드이용내역","6","0.11"
"세이프박스","가이드","4","0.07"
"세이프박스","모임통장","3","0.05"
"세이프박스","내정보","2","0.03"
"세이프박스","정기예금","2","0.03"
"세이프박스","추천","1","0.01"
"이체내역","login","16","0.32"
"이체내역","내신용정보","10","0.20"
"이체내역","추천","5","0.10"
"이체내역","가이드","4","0.08"
"이체내역","내카드","4","0.08"
"이체내역","내정보","3","0.06"
"이체내역","카드이용내역","3","0.06"
"이체내역","세이프박스","2","0.04"
"이체내역","정기예금","2","0.04"
"이체내역","모임통장","1","0.02"
"정기예금","login","13","0.35"
"정기예금","가이드","7","0.18"
"정기예금","추천","7","0.18"
"정기예금","내신용정보","3","0.08"
"정기예금","내카드","3","0.08"
"정기예금","이체내역","2","0.05"
"정기예금","내정보","1","0.02"
"정기예금","모임통장","1","0.02"
"추천","login","24","0.48"
"추천","세이프박스","5","0.10"
"추천","내카드","4","0.08"
"추천","가이드","3","0.06"
"추천","모임통장","3","0.06"
"추천","이체내역","3","0.06"
"추천","카드이용내역","3","0.06"
"추천","내신용정보","2","0.04"
"추천","정기예금","2","0.04"
"추천","내정보","1","0.02"
"카드이용내역","모임통장","6","0.20"
"카드이용내역","login","5","0.17"
"카드이용내역","이체내역","5","0.17"
"카드이용내역","정기예금","4","0.13"
"카드이용내역","추천","3","0.10"
"카드이용내역","가이드","2","0.06"
"카드이용내역","내정보","2","0.06"
"카드이용내역","내신용정보","1","0.03"
"카드이용내역","세이프박스","1","0.03"
